,0.7_4,0.7_24,0.7_72,3.7_4,3.7_24,3.7_72
Rv0440,-4.376144212,-2.577771317,-1.164265062,-3.568532283,-4.508276647,-5.462446265
Rv0441c,,,-1.245500621,,,1.244663074
Rv0442c,,,,,,1.30906768
Rv0443,,-1.310521819,-1.296842712,,-1.016493012,-1.170436798
Rv0444c,-1.734541338,-1.853521626,-1.520716942,-3.859140871,-4.637551375,-2.991296701
Rv0445c,,-1.633231645,-1.347071256,-1.610300284,-2.873404309,-2.185551935
Rv0446c,,-1.832683615,-1.873967655,-1.827670037,-2.648924965,-2.12316308
Rv0447c,,-1.519736249,-1.019309319,-1.065294981,-1.443847213,
Rv0448c,,,,,,2.793920442
Rv0449c,,,,,,
Rv0450c,-1.488632766,-1.417453605,-1.248776675,-1.857736896,-1.504107371,
Rv0451c,-1.123615433,-1.925274354,-1.363864477,-1.053810075,,-1.688251825
Rv0452,,,,1.525872506,1.286667105,
Rv0453,,,,,,1.611467969
Rv0455c,,-1.160454532,-1.756814743,,,-2.383943306
Rv0456A,,,,,,
Rv0456B,,,,,,
Rv0456c,,,-1.285059055,,,
Rv0457c,,,,,-1.641738799,
Rv0458,,,-2.055117608,,,-1.445210191
Rv0459,,,-2.22478411,,,-2.295654381
Rv0460,,-1.156378178,-1.259396792,,-2.070570015,-3.099379976
Rv0461,,,,-1.189652067,-2.360991641,-2.850255406
Rv0462,,,,-2.077727001,-2.711046251,-2.357824226
Rv0463,,,,-1.491286649,-2.565142043,-2.11434196
Rv0464c,-1.198813059,-1.916272712,-1.537333368,-1.861363153,-2.018038502,
Rv0465c,,-1.225938295,,,,
Rv0466,,,,,,
Rv0467,2.047246406,,3.684692525,1.134136176,1.597293096,3.737031708
Rv0468,,,1.904998658,,,
Rv0469,,,,,,
Rv0470A,,,,,-1.268273984,
Rv0470c,,-1.33928574,-1.768213014,,-1.54593596,-2.629215604
Rv0471c,,,,,,
Rv0472c,,-1.410238216,,,-1.677696379,-1.79778252
Rv0473,,-1.109870293,,,-1.35072751,
Rv0474,,-1.291945651,-1.274216603,2.744735335,2.293572867,
